match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,average_speed_mph
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3:56:11,4,12,300,2,1,6,5,AD,40,1,1,1,158,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767,6.518,1,116.0,BW,NCTL,ND,116.13148788927336
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,3:13:32,3,13,201,0,2,6,6,5,6,2,1,2,99,102,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.749,1,127.0,W,CTL,,119.14795918367346
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,25:37:54,3,8,134,0,2,2,5,15,40,2,1,2,51,83,2,2,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.599,21.189,5,110.0,W,CTL,D,112.07692307692308
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,4:19:56,5,13,337,2,2,6,6,8,9,2,2,2,169,168,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.841,19.918,5,97.0,W,CTL,ND,110.13149847094802
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,3:04:23,4,10,246,2,1,5,4,40,30,1,1,1,129,117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.683,8.287,1,113.0,C,CTL,ND,110.27659574468085
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul,6:19:45,5,8,332,2,2,5,2,40,30,2,1,1,176,156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29.077,31.122,6,106.0,C,CTL,D,109.10153846153847
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,5:16:48,3,13,232,2,0,6,6,6,2,1,1,1,123,109,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.265,5.583,1,117.0,BW,NCTL,D,108.33628318584071
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,2:10:56,3,10,190,0,2,4,5,0,40,2,1,2,90,100,2,2,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.274,9.497,3,124.0,C,NCTL,ND,112.65053763440861
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,2:24:44,4,10,213,2,1,5,4,40,15,1,2,1,115,98,1,1,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.179,6.655,3,101.0,BC,CTL,ND,113.17894736842105
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,4:19:35,5,7,318,2,2,5,1,40,30,1,2,1,163,155,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.763,5.212,0,,BC,NCTL,D,
2023-wimbledon-1311,Guido Pella,Roman Safiullin,1:46:42,3,6,170,0,2,0,5,30,40,1,1,2,67,103,2,2,0,0,0,1,F,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.3,29.235,0,,C,NCTL,D,
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,3:11:32,4,12,275,2,1,6,5,40,0,1,2,1,147,128,1,1,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.566,23.376,7,102.0,BW,NCTL,ND,107.6692607003891
2023-wimbledon-1313,Andrey Rublev,David Goffin,3:00:31,4,8,290,2,1,5,2,40,30,1,1,1,155,135,1,1,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.504,9.339,3,119.0,W,NCTL,ND,103.62989323843416
2023-wimbledon-1314,Alexander Bublik,Maximilian Marterer,1:51:28,3,13,185,2,0,6,6,6,4,2,2,1,107,78,1,1,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.556,26.651,6,109.0,BC,NCTL,D,115.89714285714285
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,2:04:13,3,10,198,0,2,4,5,40,AD,2,1,2,92,106,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987,0.662,1,123.0,C,NCTL,,109.58510638297872
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,2:06:59,3,13,167,0,2,6,6,5,6,2,1,2,70,97,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.238,16.755,5,122.0,BC,NCTL,ND,108.12727272727273
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,3:04:50,4,9,225,2,1,5,3,AD,40,1,1,1,122,103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.157,18.315,3,112.0,C,NCTL,ND,116.61009174311927
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,3:21:14,4,9,274,1,2,3,5,30,40,2,2,2,134,140,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.732,53.266,13,98.0,BW,CTL,D,114.0919540229885
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,1:29:54,2,8,122,1,0,5,2,40,30,1,1,1,70,52,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.91,34.67,9,122.0,C,NCTL,D,110.82905982905983
2023-wimbledon-1404,Christopher Eubanks,Stefanos Tsitsipas,3:04:33,5,10,286,2,2,5,4,AD,40,1,1,1,137,149,1,1,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.444,7.486,3,117.0,BC,NCTL,ND,113.40579710144928
2023-wimbledon-1405,Jannik Sinner,Daniel Elahi Galan,2:37:03,3,9,215,2,0,5,3,40,15,1,1,1,120,95,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.844,27.743,3,116.0,W,NCTL,ND,109.98578199052133
2023-wimbledon-1406,Roman Safiullin,Denis Shapovalov,2:09:48,4,9,195,2,1,5,3,40,15,1,2,1,110,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.876,36.244,3,100.0,W,CTL,ND,114.59776536312849
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,3:17:47,5,10,331,2,2,5,4,40,15,1,1,1,173,158,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238,1.408,1,108.0,W,CTL,,118.79552715654953
2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,3:05:33,4,10,271,1,2,4,5,0,40,2,1,2,129,142,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.611,13.157,3,119.0,C,NCTL,ND,115.52671755725191
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,2:21:11,3,10,189,2,0,5,4,40,30,1,2,1,103,86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.052,5.04,1,93.0,BC,NCTL,D,114.43478260869566
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,2:58:02,5,7,283,2,2,5,1,AD,40,2,2,1,150,133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15.642,21.179,4,94.0,BW,NCTL,ND,116.5410447761194
2023-wimbledon-1503,Jannik Sinner,Roman Safiullin,2:14:23,4,8,193,2,1,5,2,40,30,2,1,1,108,85,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9.651,11.78,2,121.0,BC,CTL,ND,113.9945652173913
2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,2:47:30,4,9,217,1,2,3,5,15,40,1,2,2,96,121,2,2,0,0,0,1,B,0,0,0,0,0,1,0,1,0,1,0,1,0,0,30.329,22.825,6,90.0,BC,NCTL,ND,109.01401869158879
2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,1:49:13,3,9,159,2,0,5,3,40,30,1,2,1,91,68,1,1,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.369,65.69,17,89.0,BW,NCTL,D,112.03947368421052
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,2:47:29,3,13,202,0,2,6,6,4,6,2,1,2,96,106,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.92,32.971,9,123.0,C,NCTL,ND,111.04522613065326
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4:42:27,5,10,334,2,2,5,4,40,30,1,1,1,168,166,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17.811,25.367,3,129.0,BW,NCTL,ND,112.88271604938272
