,,,,,,,,,,,,,,,,,,,,p1 ace球数,p2 ace球数,p1 制胜球,p2 制胜球,,p1双发失误次数,p2双发失误次数,p1非受迫性失误,p2非受迫性失误,上网次数,上网次数,上网得分次数,上网得分次数,破发率,破发率,破发赢次数,破发赢次数,破发输次数,破发输次数,,,,,,,,,,,,,
match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,,,,,,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3:56:11,4,12,300,2,1,6,5,AD,40,1,1,1,158,142,1,1,12,15,41,48,000F000F00000F000F00000000FF000000000000B0F000000F00000000FFB00000000F0000000F00000B000F0B000000F00000FB0000F0000F000000F00000000000000000000000000000FF00000000000B00F00F00FFFF0000F000000000000F00000000B00000F00000000000000000FF00F0BFF00F000000000F000FB0000000000000F00F000000F0B00F00F000F00B00F0B000,7,3,30,46,25,53,19,29,14,7,5,2,9,5,4517.831,4473.323,987,116,BW,NCTL,ND,,,,,,
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,3:13:32,3,13,201,0,2,6,6,5,6,2,1,2,99,102,2,2,12,15,34,36,000000000000B0B000F000F00000000B0000000000000000000B0B0FF00000000F00BB000FF00FB0000FF0000BB00FFF0000F00000FF0000000000000F00000F000000F0B00000B00000000000000000000B0000000F00F0F00F000000000F000000F0000,1,3,23,22,33,15,22,13,1,5,0,1,1,4,2848,2514.428,659,127,W,CTL,,,,,,,
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,25:37:54,3,8,134,0,2,2,5,15,40,2,1,2,51,83,2,2,5,13,14,33,00000000F0B000000000B0F0F0000BB00000000000000000F00000000B00000000000000000FF0000000F0F000B00000000F0F0000BF00FF0000000000F00FB000B00B,1,3,22,14,21,11,9,11,0,9,0,5,0,4,2183.027,2245.744,524,110,W,CTL,D,,,,,,
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,4:19:56,5,13,337,2,2,6,6,8,9,2,2,2,169,168,2,2,7,19,46,61,0000000000000000000B000000F000FF00BF0F0000000F0FF0FF00BBB000F00F000B000000F000F00000F00000F000BF000BB00000000000B0000000F00B00000000F0F0F00B000000000000FF0B00000B0F0000000F0000FF000000F00F000000B000FF00000000F0F000F00000F000F0F0000000000F0000FB0F0B0B0F000B000000000F00F000000F000000000F0F0B00B0F00000F0000B000F00B0000F0F0F00000F00BB0F0F0,0,9,42,57,31,56,20,33,16,14,4,4,12,10,4254.32,4275.972,1115,97,W,CTL,ND,,,,,,
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,3:04:23,4,10,246,2,1,5,4,40,30,1,1,1,129,117,1,1,6,4,34,47,0B000000B00B0000000F00000F000F0000FB0F0BFB000B00FFF00B00F00F00000F0F0000000000F00F000000F000000FF00000000000F00000B00000F0000B0BBB000F000B00000000B0FF0B000BFFF000F0F00000BBB0B00F00FB000F00000000F0000000F000FF0BF000FF0000000F0000F00000FB0B0F0000B0,5,4,33,45,22,46,15,33,8,5,3,1,5,4,4472.432,4514.297,1046,113,C,CTL,ND,,,,,,
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul,6:19:45,5,8,332,2,2,5,2,40,30,2,1,1,176,156,1,1,19,10,63,33,00BF0B00000B00F000B0B000000F00BF00B00000F0000B0000000000000000000000000000000000FF0F00B00000000F000000000F000F0000BB0FF0000000000B00000000000000F00B0F0FB0F0F0B0000000F0F0000000000000FFF000B00000000000F00F00000F00B000000F0FF000F0000000000BF00BF00F00000FF0000000000000F0000000000FB0F0F000000000000000000000000F0000000B0F0000000F0F0000,4,3,43,37,42,40,35,25,10,5,5,1,5,4,4249.678,4271.249,1021,106,C,CTL,D,,,,,,
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,5:16:48,3,13,232,2,0,6,6,6,2,1,1,1,123,109,1,1,23,5,65,35,0000000000FF0F0000000000F0F000B0000F0B00F000000F000FFFF00000BF0B0F000000FF00F0B00FFB00F00FF0F0BFF000000F0FF00000FB0F0F0000000000000FB0B00000000B00FBB00FF0B00F000000000B00000B00B000FB0000000F00000FF0F0B0B000F00B0000B0BBB00B00FF00B000,4,1,25,12,40,62,28,47,5,3,1,1,4,2,2352.093,2482.266,608,117,BW,NCTL,D,,,,,,
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,2:10:56,3,10,190,0,2,4,5,0,40,2,1,2,90,100,2,2,4,6,32,26,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F0000000B00FB000000F00B00000B0F00BF0F00F000F00FBB000000000F0000000F00000F0000F00000F00F0000B0000000000000000FF00B0B000F00B0FB000F,3,1,18,19,15,23,13,19,4,4,1,3,3,1,2210.113,2244.814,576,124,C,NCTL,ND,,,,,,
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,2:24:44,4,10,213,2,1,5,4,40,15,1,2,1,115,98,1,1,9,14,34,35,F000F000000F0000F000000B0F00F000000000F00FF0B000000F00000000000F0F000F00000000F0000B00B00000B0BF0B0000000000000000000000F0FF00000F0000000000000000000000FB000000F000F00F0F0000FB000000000000F00FF00000000B000000F0F0F,8,9,26,31,14,10,10,7,11,4,5,2,6,2,2087.831,1910.116,562,101,BC,CTL,ND,,,,,,
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,4:19:35,5,7,318,2,2,5,1,40,30,1,2,1,163,155,1,1,9,5,50,46,0000F000B00000000B000000000000000000F000000000000000000F0000000000B000F0B00B000B00F0F00F0000F0BF0000000000FF0F000B000F0FB0000000F00FF00000F0FF0F0F00000000F0000F00F000F00F0F000F0000000F00B0F000B000000000000000BF0FB000000FBB0BF00F0B000000F0BB000F0000000B000000BB00F0B000BF000F0000F000000000B000000BFBF0000FF0F0FBB00BF000,1,7,63,67,36,17,28,11,13,22,10,7,3,15,5775.494,5876.545,0,,BC,NCTL,D,,,,,,
2023-wimbledon-1311,Guido Pella,Roman Safiullin,1:46:42,3,6,170,0,2,0,5,30,40,1,1,2,67,103,2,2,7,11,21,54,F000F0000000B0BF0000FB0FFB000000F00FF000F0000F0000B000000F0F00FF0B00BF0F0F0000F000B0B00BB00BFF00000FF0F00F00F000FB00000000F0000000F00FF00F0F00000F000000000F00F00FF0FF00BF,2,1,14,26,11,34,7,28,3,8,1,5,2,3,2401.305,2453.844,0,,C,NCTL,D,,,,,,
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,3:11:32,4,12,275,2,1,6,5,40,0,1,2,1,147,128,1,1,14,1,50,18,0BF000000F00000000F0F00FF0000B00000000FF000000F0000000F00000FF00000000000000000000000F00F0000000000000000000F000F00000000B000F0F00000000FFF00F0F0000F00000000000F00B00F000000000000000000F0B00000B0000B00000B00B00F000000000F0B000FFB00000F0000000000000000000FF00000000000F0F0000F,14,4,60,41,22,24,15,16,15,17,8,5,7,12,4332.748,4223.853,1035,102,BW,NCTL,ND,,,,,,
2023-wimbledon-1313,Andrey Rublev,David Goffin,3:00:31,4,8,290,2,1,5,2,40,30,1,1,1,155,135,1,1,14,7,51,41,0F000F0B000000F000B000BF000F00000F000F0000000000000000000000F0F000F0FBFF0000000000000000BF0000000000000000F000000F000F00000B000000000000BFF0F00000000F000F000F00F000F0FBF000000000000FFFFF000000F00F0000FBFB00F000000000000F0F00F00B0000000F00000F00000F0F000000B00000000FFB000F00FB000F000000000F,3,6,44,34,9,19,7,14,15,8,6,3,9,5,4214.376,4097.017,1048,119,W,NCTL,ND,,,,,,
2023-wimbledon-1314,Alexander Bublik,Maximilian Marterer,1:51:28,3,13,185,2,0,6,6,6,4,2,2,1,107,78,1,1,10,5,39,22,BFB00000000F000000F0000BBF0F00BB00000000000000B00F0F000000F00000000000FB000F00000000B00F0000FF000000B00F000000000000000000FF000000000F0F000F000000000000FFF0000F000F0B0000000F00FFF00FF0F,7,3,24,33,9,27,7,13,9,4,4,0,5,4,1682.808,1652.115,469,109,BC,NCTL,D,,,,,,
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,2:04:13,3,10,198,0,2,4,5,40,AD,2,1,2,92,106,2,2,4,16,26,37,00000F0000000000F00FF0FF000B00F000000000000000F000B00B000F00B0B000000FB0000000F000F0F0F000000000000000000F0000000F00F0000F0000F00FFF00F0B0F000000F0F00F00000000B0000000F00000F00000000000F0F0FB0000000,7,3,20,24,24,34,17,23,4,4,0,2,4,2,2079.312,2109.999,535,123,C,NCTL,,,,,,,
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,2:06:59,3,13,167,0,2,6,6,5,6,2,1,2,70,97,2,2,6,11,12,38,000B000F0000000F00000000F000000F00000B0F000000000FB0000000000BF00000000F000000F0F0000F000B0B000B0000000F00000000BFF0F0000000BF0000F0000FF0000000F00F000F000000000FB0000,0,1,29,26,6,27,2,22,0,9,0,4,0,5,3100.428,3215.768,757,122,BC,NCTL,ND,,,,,,
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,3:04:50,4,9,225,2,1,5,3,AD,40,1,1,1,122,103,1,1,4,9,35,35,00000000B000FFF00F0F00000B0B000000000000F000B0F00000F0000FB0FBF00000000F00000B0000B0000BF0000000BB00000B0FB00F000000000000000000F0FF0F0000B00000FFF00F0F0BFFF0F000B0000000000F0000000F00000F00BF00FF0F00000000F000000F00000000000,6,0,23,33,22,33,18,19,16,3,4,1,12,2,3293.312,3132.751,709,112,C,NCTL,ND,,,,,,
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,3:21:14,4,9,274,1,2,3,5,30,40,2,2,2,134,140,2,2,14,11,49,46,B0FF00F00F000F00F00F0FBB00000000B0000000000000000F0F0000000B0000000000FF0000BFF00000000BF0000000000000000F000F0000000BF00000000000B0FF0000F000000000B00B0000000000FF000F000F00000FF000000F00F0F000000F0BB000FF0F00000B000000F00F0B000000F00FF0FFF000000000000F0000B0F00000000F0000,8,5,38,27,39,24,29,17,3,9,2,2,1,7,4298.067,4343.016,1063,98,BW,CTL,D,,,,,,
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,1:29:54,2,8,122,1,0,5,2,40,30,1,1,1,70,52,1,1,9,5,17,21,000B0B000000000B0000000000B00F00000B0B00000000000B000BF000000BFB00F00000000F0B000000000000000F000B0000FF00B000000000B00F00,2,3,12,33,4,25,2,15,14,0,3,0,11,0,1720.155,1614.352,429,122,C,NCTL,D,,,,,,
2023-wimbledon-1404,Christopher Eubanks,Stefanos Tsitsipas,3:04:33,5,10,286,2,2,5,4,AD,40,1,1,1,137,149,1,1,13,11,53,37,FF00000000000000F00000FFF00B00BF0000000000000000000000F00000B000FF000F0000F0000000000BF00B0F000F0000B0000000000000F0FB0F00000BF00B00B0000000BFF00000F000000000000000F0F00F00000F00000000000F0F00000000B0BF00000000BFB0F000000000B0FF00B00F0000B0F0F00000F00000F00000B00B00F00000F00000F000000F,5,4,56,17,67,27,43,19,7,13,3,5,4,8,3009.924,2937.666,717,117,BC,NCTL,ND,,,,,,
2023-wimbledon-1405,Jannik Sinner,Daniel Elahi Galan,2:37:03,3,9,215,2,0,5,3,40,15,1,1,1,120,95,1,1,12,12,42,35,F000000000B00F0BFFB00000000F000000F0000000000F0FB00000FFF0B000000000000000000000F000F00F0F000FF0000000B0000B00FF0F0000000000000000B000000F000000F00F0000000F00F00F0000FF0000F000BB00000F000F000FF0B000000000B0B00FBFF00,1,3,23,35,18,14,14,7,20,5,3,1,17,4,2615.592,2764.689,669,116,W,NCTL,ND,,,,,,
2023-wimbledon-1406,Roman Safiullin,Denis Shapovalov,2:09:48,4,9,195,2,1,5,3,40,15,1,2,1,110,85,1,1,6,8,33,30,00B00000000000B000B0000F000F00000FB000000000F00000F000000F0FF00B00F000F000000BF0F0B0BFB0F00000F00FBB000F000B00F00000F00F00F000000B000000F0F0000000B000000F000F000BF00F000F000000000B0F0B0F0000B0000,3,11,26,32,18,17,15,11,9,3,5,1,4,2,2594.57,2675.132,660,100,W,CTL,ND,,,,,,
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,3:17:47,5,10,331,2,2,5,4,40,15,1,1,1,173,158,1,1,21,39,53,67,FF000B000F000F00000000F0000000B00000F0F0F0000000000000F0F000000000B00F00000F000000000000000000B0000000000000000000000000F0000F00B0000F00F0000B000000000F00F0B000000000000000B000F0000FF00B00000F000000000000FB0FF00000000000B000000000000000BF000F00FB000B0000F0000000F0000F0FF0000B000000F0000000B000000F000F00000F00F0B00000F00F0F00000F0,2,14,21,52,26,41,18,33,9,5,3,0,6,5,3672.431,3712.518,867,108,W,CTL,,,,,,,
2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,3:05:33,4,10,271,1,2,4,5,0,40,2,1,2,129,142,2,2,33,18,64,44,00B0B000000000B00B00000B0F00FF00000F000FF000FF000B0000F00F00000000000000000F0F0000000B00000000000000F0BBF0000000B00BF00000F000F0000000F00000000F000B000F00B000FFF00B0000000000000000FFF000F0000000000B000F0000BF000000F00F000B000000F0000F0000F000000F000FB0000F00000000B000000,4,3,37,16,53,25,39,20,2,8,1,1,1,7,3384.72,3317.598,836,119,C,NCTL,ND,,,,,,
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,2:21:11,3,10,189,2,0,5,4,40,30,1,2,1,103,86,1,1,4,2,35,26,000F00B000FF000BB0F0000000000F0000F0000FF00B00BB00000F00000FF0BB0B000FF000F000B000000BFB0000B0000000000F0000F00000F0000000F000B000B00F000000000F0F0F000F000FFF00000FFF00000B0000F0000F0000000,2,3,13,21,27,28,21,19,3,1,2,0,1,1,2353.797,2347.884,572,93,BC,NCTL,D,,,,,,
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,2:58:02,5,7,283,2,2,5,1,AD,40,2,2,1,150,133,1,1,28,17,52,74,0F00F00B00000000FF0BF0B0000FF00B0F00FFFB0000BBF0000000B000000F00F00000F00F0FF00F0F00FBBF0FFBB00F00F00000000000000F0000F00F00000000000FF00000F0FFFF00000F00F0000000B000000000000000F00FF0F000F0F00F00000F000F000FFB0F0000000F0000F0F00000000000B000F00000F000000000000FBF00B0F00000000000000,5,10,13,55,5,64,2,43,7,7,4,3,3,4,3037.844,3165.945,743,94,BW,NCTL,ND,,,,,,
2023-wimbledon-1503,Jannik Sinner,Roman Safiullin,2:14:23,4,8,193,2,1,5,2,40,30,2,1,1,108,85,1,1,14,8,36,27,000B000F000000000000000FF00F00F00F000FF000BB00000000000000FF00000000000B0F00B00B00000000000BF00B0000FF0F0F00B0000F000000000B0B00F00F00F00000000000000000000000000000F000F00000F000BF000F0000000F0,2,7,20,32,16,18,12,10,12,5,6,2,6,3,2502.501,2480.484,679,121,BC,CTL,ND,,,,,,
2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,2:47:30,4,9,217,1,2,3,5,15,40,1,2,2,96,121,2,2,6,5,32,42,0F000000FF000000FFF000BFF00000F0000000FF0FF00F0F0F00F00F0000000F000000F000F0F0000BF00B0000F0B00B00000F00B0000F00000000000BB0000000000F0000F00FB000F000F0000F000B00FF0B00000F00000B0000000000000F0F00F0F0FB0FFF000F0000B0B,2,1,25,23,11,23,7,18,8,12,1,5,7,7,3887.454,3851.497,966,90,BC,NCTL,ND,,,,,,
2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,1:49:13,3,9,159,2,0,5,3,40,30,1,2,1,91,68,1,1,4,5,27,24,00F00000000000F0B00BF0B0F00F0FFB000000F0F0000F000000B00B00000000FB00000000000B0000B0F00000000F00B00FB0000F0B00000F000F00F000F000F0FF0000000F0F00FF00FF000000F0F,3,4,17,19,31,21,26,13,14,4,6,2,8,2,3057.761,2728.81,617,89,BW,NCTL,D,,,,,,
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,2:47:29,3,13,202,0,2,6,6,4,6,2,1,2,96,106,2,2,8,11,44,33,0000F0F000000000B000000000FF0F0B0F0F0FF0F000FFF0000000F0F00F0FF0000000F00B00FB00F000F00000F0F0000000F00B000000FF0BF00F0000000F00000000000000000FB0FBFFF00FF0000000F00B00F0B00000000FF000000000F0B0000FF000,3,0,35,21,25,21,20,15,6,9,0,2,6,7,3196.384,3194.677,832,123,C,NCTL,ND,,,,,,
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4:42:27,5,10,334,2,2,5,4,40,30,1,1,1,168,166,1,1,9,2,66,32,00F000F0000F00F00000000000000000B0FF000FF000F0000000BF0F00000FFF0000000000F0000000BF00BB0F00FBF0F00000F0000000000000000B000000000000FF0B00B000B00B00000000F0000000000F0000BF0F0B000F000F000000000000B0000000FF00B0000000B0F00F000B000B00FF0F0F00F0F0B00000F000FF0F0BF00000F0B000000FFB00F000F0000FFB0F00B0000000000000000F0FB0000F0F00000FBF00,7,3,45,40,38,57,25,34,19,15,5,5,14,10,6606.523,6195.168,1490,129,BW,NCTL,ND,,,,,,
